zips/2024120530/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Coalinga Perimeter Trail_Public Review Draft IS-MND_121224_flt.PDF:California jewelflower (Caulanthus californicus; Federal Endangered [FE], State
zips/2024120530/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Coalinga Perimeter Trail_Public Review Draft IS-MND_121224_flt.PDF:San Joaquin wooly-threads (Monolopia congdonii; FE, SE, CRPR 1B.2). This species
zips/2024120530/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Coalinga Perimeter Trail_Public Review Draft IS-MND_121224_flt.PDF:Lost Hills crownscale (Atriplex coronata var. vallicola; CRPR 1B.2). This species typically
zips/2024120530/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Coalinga Perimeter Trail_Public Review Draft IS-MND_121224_flt.PDF:brittlescale (Atriplex depressa; CRPR 1B.2). This species typically occurs in chenopod scrub,
zips/2024120530/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Coalinga Perimeter Trail_Public Review Draft IS-MND_121224_flt.PDF:Lemmon’s jewelflower (Caulanthus lemmonii; CRPR 1B.2). This species typically occurs in
zips/2024120530/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Coalinga Perimeter Trail_Public Review Draft IS-MND_121224_flt.PDF:Hall’s tarplant (Deinandra halliana; CRPR 1B.1). This species typically occurs in chenopod
zips/2024120530/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Coalinga Perimeter Trail_Public Review Draft IS-MND_121224_flt.PDF:recurved larkspur (Delphinium recurvatum; CRPR 1B.2). This species typically occurs in
zips/2024120530/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Coalinga Perimeter Trail_Public Review Draft IS-MND_121224_flt.PDF:Hoover’s eriastrum (Eriastrum hooveri; CRPR 4.2). This species typically occurs in chenopod
zips/2024120530/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Coalinga Perimeter Trail_Public Review Draft IS-MND_121224_flt.PDF:Eastwood’s buckwheat (Eriogonum eastwoodianum; CRPR 1B.3). This species typically
zips/2024120530/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Coalinga Perimeter Trail_Public Review Draft IS-MND_121224_flt.PDF:stinkbells (Fritillaria agrestis; CRPR 4.2). This species typically occurs in clay and sometimes
zips/2024120530/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Coalinga Perimeter Trail_Public Review Draft IS-MND_121224_flt.PDF:alkali-sink goldfields (Lasthenia chrysantha; CRPR 1B.1). This species typically occurs in
zips/2024120530/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Coalinga Perimeter Trail_Public Review Draft IS-MND_121224_flt.PDF:pale-yellow layia (Layia heterotricha; CRPR 1B.1). This species typically occurs in alkaline or
zips/2024120530/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Coalinga Perimeter Trail_Public Review Draft IS-MND_121224_flt.PDF:Panoche pepper-grass (Lepidium jaredii ssp. album; CRPR 1B.2). This species typically
zips/2024120530/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Coalinga Perimeter Trail_Public Review Draft IS-MND_121224_flt.PDF:showy golden madia (Madia radiata; CRPR 1B.1). This species typically occurs in cismontane
zips/2024120530/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Coalinga Perimeter Trail_Public Review Draft IS-MND_121224_flt.PDF:Indian Valley bushmallow (Malacothamnus aboriginum; CRPR 1B.2). This species typically
zips/2024120530/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Coalinga Perimeter Trail_Public Review Draft IS-MND_121224_flt.PDF:shining navarretia (Navarretia nigelliformis ssp. radians; CRPR 1B.2). This species typically
zips/2024120530/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Coalinga Perimeter Trail_Public Review Draft IS-MND_121224_flt.PDF:Panoche navarretia (Navarretia panochensis; CRPR 1B.3). This species typically occurs in the
zips/2024120530/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Coalinga Perimeter Trail_Public Review Draft IS-MND_121224_flt.PDF:prostrate vernal pool navarretia (Navarretia prostrata; CRPR 1B.2). This species typically
zips/2024120530/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Coalinga Perimeter Trail_Public Review Draft IS-MND_121224_flt.PDF:chaparral ragwort (Senecio aphanactis; CRPR 2B.2). This species typically occurs in
zips/2024120529/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/OCR - Form F.PDF:Although the Sidalcea covillei (Owens Valley Checkerbloom), a sensitive plant species, was not identified on the site
zips/2024120529/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/OCR - Draft ISMND signed.PDF:period to determine the presence or absence ofsensitive plant species, specifically Sidalcea covillei
zips/2024120529/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/OCR - Draft ISMND signed.PDF:(Sidalcea covillei). If this species is identified within the proposed Project area and cannot be avoided, necessary permits shall be
zips/2024120529/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/OCR - Draft ISMND signed.PDF:presence or absence of sensitive plant species, specifically Sidalcea covillei (Owens Valley Checkerbloom). If this
zips/2024120528/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Groundwater Contamination Characterization Project IS-MND_Public compiled.PDF:club-haired mariposa-lily (Calochortus clavatus var. clavatus)
